"","Feature","mz","rt","intensity","iso_group","status","shift"
"2763","2763","536.0409","9.936","69,886.4","324","filtered","none"
"2752","2752","529.9558","10.220","1,406,056.6","323","keep_rep","C13*1 (z=1)"
"2753","2753","530.9606","10.220","169,904.9","323","filtered","none"
"2749","2749","527.9578","10.220","9,562,461.8","322","keep_rep","C13*1 (z=1)"
"2750","2750","528.9599","10.220","2,260,623.3","322","filtered","none"
"2747","2747","526.8286","16.050","3,648,007.6","321","keep_rep","C13*1 (z=2)"
"2748","2748","527.3301","16.050","417,306.3","321","filtered","none"
"2741","2741","524.2999","1.485","686,311.8","320","keep_rep","C13*1 (z=1)"
"2743","2743","525.3034","1.485","157,624.7","320","filtered","none"
"2742","2742","524.2998","2.765","218,609.6","319","keep_rep","C13*1 (z=1)"
"2744","2744","525.3033","2.765","49,849.2","319","filtered","none"
"2733","2733","521.9841","11.874","2,981,966.3","318","keep_rep","C13*1 (z=1)"
"2738","2738","522.9876","11.874","309,895.0","318","filtered","none"
"2731","2731","521.2543","3.879","1,400,612.1","317","keep_rep","C13*1 (z=1)"
"2734","2734","522.2577","3.879","379,208.6","317","filtered","none"
"2721","2721","516.9732","10.219","361,940.7","316","keep_rep","C13*1 (z=2)"
"2723","2723","517.4742","10.216","128,390.8","316","filtered","none"
"2716","2716","514.6735","2.879","207,171.8","315","filtered","C13*1 (z=1)"
"2718","2718","515.6813","2.879","208,634.0","315","keep_rep","none"
"2703","2703","509.2889","1.405","551,525.5","314","keep_rep","C13*1 (z=1)"
"2705","2705","510.2921","1.405","110,131.4","314","filtered","none"
"2701","2701","509.1142","3.879","491,115.6","313","keep_rep","C13*1 (z=1)"
"2704","2704","510.1175","3.879","93,411.9","313","filtered","none"
"2693","2693","507.1462","5.653","176,810.3","312","keep_rep","C13*1 (z=1)"
"2697","2697","508.1495","5.653","30,613.7","312","filtered","none"
"2689","2689","506.8323","16.051","36,461,611.6","311","keep_rep","C13*1 (z=1)"
"2695","2695","507.8358","16.051","2,169,381.2","311","filtered","C13*1 (z=1)"
"2698","2698","508.8368","16.051","1,094,012.6","311","filtered","none"
"2685","2685","505.9888","10.219","65,277,479.1","310","keep_rep","C13*1 (z=1)"
"2691","2691","506.9921","10.219","7,340,220.3","310","filtered","C13*1 (z=1)"
"2696","2696","507.9933","10.219","2,055,405.7","310","filtered","C13*1 (z=1)"
"2699","2699","508.9960","10.219","194,920.2","310","filtered","none"
"2682","2682","504.9301","10.995","2,524,263.2","309","keep_rep","C13*1 (z=1)"
"2684","2684","505.9330","10.995","575,231.3","309","filtered","none"
"2675","2675","501.6658","2.902","314,364.1","308","keep_rep","C13*1 (z=2)"
"2676","2676","502.1673","2.902","130,980.6","308","filtered","none"
"2671","2671","500.2788","1.567","567,407.3","307","keep_rep","C13*1 (z=1)"
"2674","2674","501.2821","1.567","133,404.8","307","filtered","none"
"2663","2663","496.9888","11.019","320,353.2","306","keep_rep","C13*1 (z=1)"
"2667","2667","497.9920","11.020","25,910.9","306","filtered","none"
"2658","2658","495.0428","9.142","1,655,399.0","305","keep_rep","C13*1 (z=1)"
"2660","2660","496.0462","9.142","213,071.3","305","filtered","none"
"2652","2652","493.9464","10.972","116,071.0","304","keep_rep","C13*1 (z=2)"
"2656","2656","494.4474","10.971","33,501.0","304","filtered","none"
"2631","2631","488.0311","7.349","94,384.9","303","filtered","C13*1 (z=1)"
"2635","2635","489.0303","7.345","98,310.7","303","keep_rep","C13*1 (z=1)"
"2642","2642","490.0314","7.349","64,522.3","303","filtered","none"
"2630","2630","487.1322","3.879","1,799,561.7","302","keep_rep","C13*1 (z=1)"
"2633","2633","488.1357","3.879","353,598.4","302","filtered","C13*1 (z=1)"
"2637","2637","489.1372","3.879","68,898.4","302","filtered","none"
"2629","2629","487.1003","9.141","5,120,242.8","301","keep_rep","C13*1 (z=1)"
"2632","2632","488.1039","9.141","784,904.9","301","filtered","C13*1 (z=1)"
"2636","2636","489.1054","9.141","158,288.2","301","filtered","none"
