"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2050",200.16524,9.077,520034,77511,95671,1662,7324,7579,26392,26169,22202
"2051",200.16525,6.504,727670,14970,8154,10253,3001,6457,13502,25720,7177
"2052",200.20157,7.235,670714,555828,565032,43237,33151,31919,216022,230510,99524
"2053",200.23755,5.779,838525,848452,1010900,1098756,974904,881293,1080977,999086,1152588
"2054",200.23761,5.637,721465,641073,530996,618155,651742,577459,631704,621524,769879
"2055",200.2377,4.953,155528,120980,118946,179881,146691,167768,148053,142978,159865
"2056",200.86304,11.641,132165,118975,139498,137232,160755,159772,246562,210255,253905
"2057",200.86371,0.472,2208,2002,1555,12105,3865,6841,135642,226971,200987
"2058",200.95274,0.47,188297,148598,172265,141168,183175,153757,16462,8853,9856
"2059",200.97318,0.416,54151,49234,58779,65238,40095,76506,296170,410790,461113
"2060",200.97485,0.685,28138,40812,21704,30838,20862,24264,411511,457068,634607
"2061",200.99629,11.834,5673092,7711895,3716056,1238623,4125026,7107142,6104492,6427328,3977010
"2062",200.99654,0.055,126791,226824,324997,284745,125904,230073,277092,215757,235875
"2063",201.03595,0.514,0,0,0,11392,9807,3927,118740,215076,154623
"2064",201.08743,0.583,0,2387,2792,2472,3052,1659,311141,339262,325410
"2065",201.11249,4.813,54897,35923,73876,40084,34959,36290,46766,61394,155961
"2066",201.11293,4.24,236719,240292,219895,243502,254451,218107,265460,264624,251912
