m.z	p.value	t.score	rt
150.97071	1.21618510693984e-7	-18.186614238479	625.8
388.94559	1.22003188975296e-7	36.3755634768342	661.2
85.02951	1.29186124150303e-7	19.5866507181355	440.4
240.05167	1.29186124150303e-7	-18.1393301660286	741
127.04015	1.2930386758973e-7	24.09757357246	439.8
435.20489	1.2930386758973e-7	-49.9479478387992	246.6
315.09639	1.32497019661165e-7	-25.4621201122871	533.4
549.29682	1.32497019661165e-7	43.5875278799291	280.2
399.04644	1.39996048397704e-7	-18.3429589464345	566.4
826.56037	1.41910620828209e-7	-19.0490667507803	87.6
131.05432	1.46795747979456e-7	-18.3636998530381	477.6
363.09836	1.64509260987622e-7	19.6997329197308	548.4
172.00979	1.64775526955619e-7	-29.6295239798045	481.2
243.96636	1.65177565589768e-7	17.7676810203835	486.6
609.08291	1.72610993926522e-7	-17.7066193796832	555.6
131.0462	1.77610506237486e-7	-19.5418723241334	517.8
128.03535	2.21798271397239e-7	16.7348569516271	519
430.11383	2.21798271397239e-7	-37.0397289090573	481.2
302.05205	2.32241053670604e-7	-19.5558671099898	741
360.97114	2.44959447495279e-7	30.2579417812648	675.6
125.00445	2.4653377990117e-7	18.4557583941802	489
471.10513	2.4966130969499e-7	-28.5491754443855	510
97.02949	2.53454243923257e-7	19.5512709714626	440.4
187.07248	2.53454243923257e-7	-23.3508562679668	300
301.06534	2.61736263733564e-7	22.4291102114442	529.2
534.28708	2.67008965332713e-7	-51.7649876090325	480
79.9571	2.70518088077115e-7	18.6575469239771	487.8
805.57934	2.79044973067095e-7	-23.0299422713298	152.4
322.09241	2.86180074891486e-7	-55.3710001707974	249.6
195.00617	2.91415251073834e-7	18.0166211190828	532.2
385.13285	2.91415251073834e-7	20.9021340704632	440.4
762.50843	2.91415251073834e-7	17.0089664075643	84
273.00019	3.07018181555237e-7	16.6729649817905	486.6
168.02786	3.13364534571448e-7	-16.0052469443649	304.2
854.59079	3.19168258447685e-7	-17.8525376518998	88.2
300.13019	3.26642823731404e-7	25.4653014298054	473.4
819.51844	3.27896334145509e-7	-37.3790434049872	78
152.9959	3.29898875586854e-7	-26.4327629916829	483
159.52766	3.30648274057505e-7	-16.5413823801042	741
182.05414	3.38454563806204e-7	-19.2523885178849	218.4
234.95667	3.50055516453983e-7	-52.0335327651546	247.8
141.00899	3.50828907279097e-7	-15.9641973519859	569.4
376.15745	3.50828907279097e-7	-47.7338990215178	477.6
779.56381	4.02480153517706e-7	-17.2767278972692	153.6
337.05572	4.34905970486074e-7	50.035041040066	551.4
490.03138	4.55724152166531e-7	18.4103766627153	441
613.14022	4.55724152166531e-7	16.8852092451705	559.8
387.10886	4.80803520710664e-7	30.2056630424389	440.4
302.09927	4.93044492184447e-7	-16.708163688797	516.6
492.07575	5.02744907320631e-7	39.9662621612979	548.4
